,document_type,publication_year,publication_date,article_title,source_title,authors,abstract,"times_cited,_all_databases",marine_content,dimension,novelty_study_type,novelty_measured,system,notes
1,Article,2022,MAR,Quantifying socio-economic novelty in fisheries social-ecological systems,FISH AND FISHERIES,"Ammar, Y; Voss, R; Niiranen, S; Blenckner, T","Socio-economic development has shaped fisheries social-ecological systems (SES) worldwide across different scales. No work has yet undertaken how this development led to novel, not experienced before, systems structure in marine SES. Here, we quantify socio-economic novelty as the degree of dissimilarity relative to a specific spatiotemporal baseline in the Baltic Sea fisheries SES between 1975 and 2015. We used catch by gears, catch by commercial groups and trade (import and export) as respective indicators of novelty at national, regional and international governance levels. We found that socio-economic novelty increased over time nonlinearly in relation to the 1975-1979 baseline. The contribution to total novelty shifted from the dominance of gears and commercial groups in the late 1990s and early 2000s to import and export after the mid-2000s, i.e. from national and regional levels to the international level. The fastest increase in novelty occurred with the trade dominance shift, primarily related to monetary value rather than quantity. Spatially, novelty emerged with a large difference across countries, and a major contribution by Sweden, Denmark and Poland. We identified the influence of different management interventions and governance actions on the emergence of novelty in the Baltic SES. The decreasing socio-economic novelty at national and regional levels could indicate reduced variability due to management intervention in recent years which might decrease SES resilience to shocks. Calculating socio-economic novelty and studying its drivers at different scales could provide a better understanding of SES complexity and inform urgently needed adaptation and transformation towards sustainable future pathways.",5,TRUE,social,empirical,TRUE,fisheries,
2,Article,2024,Jul-17,Polymer degrading marine Microbulbifer bacteria: an un(der)utilized source of chemical and biocatalytic novelty,BEILSTEIN JOURNAL OF ORGANIC CHEMISTRY,"Zhong, WM; Agarwal, V","Microbulbifer is a genus of halophilic bacteria that are commonly detected in the commensal marine microbiomes. These bacteria have been recognized for their ability to degrade polysaccharides and other polymeric materials. Increasingly, Microbulbifer genomes indicate these bacteria to be an untapped reservoir for novel natural product discovery and biosynthetic novelty. In this review, we summarize the distribution of Microbulbifer bacteria, activities of the various polymer degrading enzymes that these bacteria produce, and an up-to-date summary of the natural products that have been isolated from Microbulbifer strains. We argue that these bacteria have been hiding in plain sight, and contemporary efforts into their genome and metabolome mining are going to lead to a proliferation of Microbulbifer-derived natural products in the future. We also describe, where possible, the ecological interactions of these bacteria in marine microbiomes.",11,TRUE,technical,biotechnology,FALSE,microbial,
3,Article,2017,JUL-AUG,The interface of ecological novelty and behavioral context in the formation of ecological traps,BEHAVIORAL ECOLOGY,"Robertson, BA; Campbell, DR; Durovich, C; Hetterich, I; Les, J; Horváth, G","Ecological traps occur when rapid environmental change causes animals to actually prefer inferior habitats. Traps increase the likelihood of species extinction, but our understanding of how evolved behavioral algorithms interface with increasingly novel ecosystems to trigger them remains limited. Both polarized and unpolarized light are increasingly common forms of light pollution known to cause maladaptive behavior for both water-seeking and entirely terrestrial insects by maladaptively triggering innate habitat selection and navigation preferences, respectively. We designed a nocturnal, field-based experiment to investigate how diverse nocturnal insect taxa use and contextualize these cues when they are placed in evolutionarily novel proximity, and so test the hypothesis that cues that originally evolved to guide navigation behavior can enhance or hinder the ability of different nocturnal insects to avoid maladaptive behavior within the context of habitat selection. Unpolarized light created more attractive ecological traps, even for aquatic taxa known to use polarized light as their sole habitat selection cue. We found that these cues could, in aquatic taxa, act both additively and synergistically to increase the attraction of ecological traps. While one family showed evidence of partitioning their response to these 2 forms of light within their respective behavioral contexts (navigation, habitat selection), our results indicate that the novel proximity of cues from separate behavioral contexts can act to enhance the attractiveness of ecological traps within a focal context.",18,FALSE,NA,NA,NA,NA,
4,Article,2025,FEB,Taxonomic novelty emerges more frequently and independently of functional novelty in historical coral communities,OIKOS,"Cunningham, ET; Staples, TL; Butler, IR; Lepore, M; Summers, HM; Roff, G; Pandolfi, JM","Earth's ecological assemblages are rapidly being driven towards unprecedented, novel states. We know little about ecological novelty in our oceans, limiting our ability to detect, contextualise, and manage substantive anthropogenic change. This is especially true for novel states with altered functional compositions. Here, we provide a quantitative assessment of taxonomic and functional ecological novelty in historical coral communities across the east Australian coast, capturing changes in the composition of coral taxa and their traits over the past 1500 years. Taxonomically novel communities emerged more frequently and often unaccompanied by substantial trait compositional change while functional novelty was commonly observed alongside significant genus turnover. Novel coral communities themselves were rare, context-dependent, and often associated with transitions in dominant genera. Our preliminary trait-based community classifications complement classical taxonomic methods to uncover a history of ecological change in east Australian coral communities, helping provide important context for their present states and inform future responses under ongoing and intensifying human-driven change.",0,TRUE,ecological,empirical,TRUE,coral_reef,
5,Article,2024,Jul-19,Suction Feeding Turned on Its Head: A Functional Novelty Facilitates Lower Jaw Protrusion,INTEGRATIVE AND COMPARATIVE BIOLOGY,"Martinez, CM; Mazon, RMM; Stiassny, MLJ","Functional novelties play important roles in creating new ways for organisms to access resources. In fishes, jaw protrusion has been attributed to the massive diversity of suction-based feeding systems, facilitating the dominant mode of prey capture in this group. Nearly all fishes that feed by suction use upper jaw protrusion, achieved by rotation of the mandible at its base, which then transmits forward motion to independently mobile upper jaw bones. In this study, by contrast, we explore an unusual form of lower jaw protrusion in the freshwater invertivore, Nannocharax fasciatus, enabled by a novel intramandibular joint (IMJ). We combine morphological, kinematic, and biomechanical data to show that the added mobility created by the IMJ influences the pattern of suction-based prey capture movements and contributes to lower jaw protrusion (increasing it by 25%, based on biomechanical modeling). Interestingly, the upper jaw bones are fused in N. fasciatus and rotate about a single fixed joint, like the lower jaws of most other suction feeding fishes. We suggest that this vertical inversion of the jaw protrusion mechanism for ventrally directed suction-feeding on benthic prey is a likely exaptation, as the IMJ is used for biting in related taxa. This work highlights the ability of novelties to facilitate ecological specialization by enabling new functional capabilities.",1,TRUE,ecological,zoology,FALSE,fish_physiology,new traits emerging over time in fish jaws
6,Article,2025,Mar-06,Microbial ecosystems and ecological driving forces in the deepest ocean sediments,CELL,"Xiao, X; Zhao, WS; Song, ZW; Qi, Q; Wang, B; Zhu, JH; Lin, JM; Wang, J; Hu, AR; Huang, SS; Wang, YZ; Chen, JW; Fang, C; Ji, QY; Zhang, NN; Meng, L; Wei, XF; Chen, CX; Cai, SY; Chen, S; Ding, K; Li, D; Liu, SQ; Song, TR; Tian, LY; Zhang, HB; Zhang, Y; Xu, SY; Chen, JY; Chen, HX; Cen, Q; Jiang, FF; Hu, GH; Tang, CG; Guo, W; Wang, XH; Zhan, LP; Fan, J; Wang, J; Zhou, CH; Li, LY; Lv, ZB; Hu, YX; Lin, XA; Mai, GQ; Luo, LL; Yang, T; Wang, WW; Kristiansen, K; Chen, LQ; Yang, HM; Ni, M; Gu, Y; Mu, F; Yang, YF; Zhou, JZ; Wang, J; Zhang, WJ; Han, M; Xu, X; Liu, SS","Systematic exploration of the hadal zone, Earth's deepest oceanic realm, has historically faced technical limitations. Here, we collected 1,648 sediment samples at 6-11 km in the Mariana Trench, Yap Trench, and Philippine Basin for the Mariana Trench Environment and Ecology Research (MEER) project. Metagenomic and 16S rRNA gene amplicon sequencing generated the 92-Tbp MEER dataset, comprising 7,564 species (89.4% unreported), indicating high taxonomic novelty. Unlike in reported environments, neutral drift played a minimal role, while homogeneous selection (HoS, 50.5%) and dispersal limitation (DL, 43.8%) emerged as dominant ecological drivers. HoS favored streamlined genomes with key functions for hadal adaptation, e.g., aromatic compound utilization (oligotrophic adaptation) and antioxidation (high-pressure adaptation). Conversely, DL promoted versatile metabolism with larger genomes. These findings indicated that environmental factors drive the high taxonomic novelty in the hadal zone, advancing our understanding of the ecological mechanisms governing microbial ecosystems in such an extreme oceanic environment.",8,TRUE,technical,new_species,FALSE,ocean_sediments,new species discovery = high taxonomic novelty
7,Article,2020,Oct-09,Increased extinction in the emergence of novel ecological communities,SCIENCE,"Pandolfi, JM; Staples, TL; Kiessling, W","Environmental change is transforming ecological assemblages into new configurations, resulting in novel communities. We developed a robust methodology to detect novel communities, examine patterns of emergence, and quantify probabilities of local demographic turnover in transitions to and from novel communities. Using a global dataset of Cenozoic marine plankton communities, we found that the probability of local extinction, origination, and emigration during transitions to a novel community increased two to four times that of background community changes. Although rare, novel communities were five times more likely than chance to shift into another novel state. For marine plankton communities at a 100,000-year time grain, novel communities were sensitive to further extinctions and substantial community change.",40,TRUE,ecological,empirical,TRUE,plankton,
8,Article,2023,Apr-13,"Synergy between Genome Mining, Metabolomics, and Bioinformatics Uncovers Antibacterial Chlorinated Carbazole Alkaloids and Their Biosynthetic Gene Cluster from Streptomyces tubbatahanensis sp. nov., a Novel Actinomycete Isolated from Sulu Sea, Philippines",MICROBIOLOGY SPECTRUM,"Tenebro, CP; Trono, DJVL; Balida, LAP; Bayog, LKA; Bruna, JR; Sabido, EM; Caspe, DPC; de los Santos, ELC; Saludes, JP; Dalisay, DS","In this study, a novel actinomycete strain, DSD3025(T), isolated from the underexplored marine sediments in Tubbataha Reefs Natural Park, Sulu Sea, Philippines, with the proposed name Streptomyces tubbatahanensis sp. nov., was described using polyphasic approaches and characterized using whole-genome sequencing. Its specialized metabolites were profiled using mass spectrometry and nuclear magnetic resonance analyses, followed by antibacterial, anticancer, and toxicity screening. The S. tubbatahanensis DSD3025(T) genome was comprised of 7.76 Mbp with a 72.3% G+C content. The average nucleotide identity and digital DNA-DNA hybridization values were 96.5% and 64.1%, respectively, compared with its closest related species, thus delineating the novelty of Streptomyces species. The genome encoded 29 putative biosynthetic gene clusters (BGCs), including a BGC region containing tryptophan halogenase and its associated flavin reductase, which were not found in its close Streptomyces relatives. The metabolite profiling unfolded six rare halogenated carbazole alkaloids, with chlocarbazomycin A as the major compound. A biosynthetic pathway for chlocarbazomycin A was proposed using genome mining, metabolomics, and bioinformatics platforms. Chlocarbazomycin A produced by S. tubbatahanensis DSD3025(T) has antibacterial activities against Staphylococcus aureus ATCC BAA-44 and Streptococcus pyogenes and showed antiproliferative activity against colon (HCT-116) and ovarian (A2780) human cancer cell lines. Chlocarbazomycin A exhibited no toxicity to liver cells but moderate and high toxicity to kidney and cardiac cell lines, respectively.IMPORTANCE Streptomyces tubbatahanensis DSD3025(T) is a novel actinomycete with antibiotic and anticancer activities from Tubbataha Reefs Natural Park, a United Nations Educational, Scientific and Cultural Organization World Heritage Site in Sulu Sea and considered one of the Philippines' oldest and most-well-protected marine ecosystems. In silico genome mining tools were used to identify putative BGCs that led to the discovery of genes involved in the production of halogenated carbazole alkaloids and new natural products. By integrating bioinformatics-driven genome mining and metabolomics, we unearthed the hidden biosynthetic richness and mined the associated chemical entities from the novel Streptomyces species. The bioprospecting of novel Streptomyces species from marine sediments of underexplored ecological niches serves as an important source of antibiotic and anticancer drug leads with unique chemical scaffolds. Streptomyces tubbatahanensis DSD3025(T) is a novel actinomycete with antibiotic and anticancer activities from Tubbataha Reefs Natural Park, a United Nations Educational, Scientific and Cultural Organization World Heritage Site in Sulu Sea and considered one of the Philippines' oldest and most-well-protected marine ecosystems. In silico genome mining tools were used to identify putative BGCs that led to the discovery of genes involved in the production of halogenated carbazole alkaloids and new natural products. By integrating bioinformatics-driven genome mining and metabolomics, we unearthed the hidden biosynthetic richness and mined the associated chemical entities from the novel Streptomyces species.",6,TRUE,technical,new_species,FALSE,microbial,
9,Article,2020,Aug-28,Quantifying a Novel Climate Through Changes in PDO-Climate and PDO-Salmon Relationships,GEOPHYSICAL RESEARCH LETTERS,"Litzow, MA; Malick, MJ; Bond, NA; Cunningham, CJ; Gosselin, JL; Ward, EJ","We used changing relationships between primary climate variables and the Pacific Decadal Oscillation (PDO) index to quantify novel climate conditions during rapid warming of the Gulf of Alaska in 2014-2019. Using Bayesian regression, we show that the PDO had a weaker relationship with North Pacific sea-level pressure than in previous decades and was associated with warmer regional temperatures, reduced wind mixing, and weaker alongshore transport. Climate conditions mapping onto the PDO during 2014-2019 appear to be unique in the historical record. The potential for surprising ecological responses to novel climates is highlighted by a switch to unique, negative correlations between the PDO and salmon production, contrasting with positive or neutral correlations during previous decades. Novel climates are emerging globally, and tracking changing associations between primary variables and climate indices may be a useful approach for quantifying both the degree of climate novelty and the potential for surprising ecological responses. Plain Language Summary Novel climates, or combinations of climate conditions that have not been previously observed in a particular place, can cause surprising outcomes for ecosystem services like fisheries production. We found that during an extreme Gulf of Alaska warming event in 2014-2019, correlations changed between the Pacific Decadal Oscillation index and a variety of climate variables. Compared with previous decades, the Pacific Decadal Oscillation was associated with a weaker Aleutian Low, warmer ocean temperatures, weaker wind-driven mixing of the ocean, and weaker large-scale ocean currents. These individual atmosphere and ocean variables are all important to salmon survival, but this particular combination of those variables had never previously been observed. We also found that the Pacific Decadal Oscillation took on a novel, negative correlation with salmon fisheries production, which is markedly different from the neutral or positive correlations seen in earlier decades. Tracking changing relationships between a climate index, primary climate variables, and salmon catches allowed us to measure the degree of novelty in Gulf of Alaska climate and to summarize the impact of novel conditions on an important ecosystem service. This same general approach may be applicable to the problem of understanding novel climates in other ecosystems.",42,TRUE,climate,empirical,TRUE,ocean_warming,
10,Article,2021,NOV,"Comparative genome analysis of the genus Hydrotalea and proposal of the novel species Hydrotalea lipotrueae sp. nov., isolated from a groundwater aquifer in the south of Mallorca Island, Spain",SYSTEMATIC AND APPLIED MICROBIOLOGY,"Gago, JF; Viver, T; Urdiain, M; Pastor, S; Kämpfer, P; Robledo, PA; Ferreira, E; Rosselló-Móra, R","From a collection of > 140 strains isolated from groundwater with thermal anomalies for the purpose of obtaining good candidates with applications in the cosmetic industry, two strains were selected because of their taxonomic novelty. Among the isolates, strains TMF_100(T) and TFM_099 stood out for their potential biotechnological relevance, and a comparative analysis of 16S rRNA gene sequences indicated that these strains represented a new species of the genus Hydrotalea. In addition, from the public genomic databases, metagenome-assembled genomes (MAGs) and single-cell amplified genomes (SAGs) could be retrieved that affiliated with this genus. These MAGs and SAGs had been obtained from different environmental samples, such as acid mine drainage or marine sediments. In addition to the description of the new species, the ecological relevance of the members of this genus was demonstrated by means of denitrification, CRISPR-Cas system diversity and heavy metal resistance, as well as their wide geographical distribution and environmental versatility. Supported by the taxonomic study, together with physiological and morphological differences and ecological features, we concluded that strain TMF_100(T) represented a novel species within the genus Hydrotalea, for which we propose the name Hydrotalea lipotrueae sp. nov. (C) 2021 The Author(s). Published by Elsevier GmbH.",5,TRUE,technical,new_species,FALSE,microbial,new species
